"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"MAD, BP","1329","0467319","Active",,,"FRIENDS BAR","558 MONTEREY BLVD","San Francisco","CA","POINT (-122.447972751 37.73161798)","West of Twin Peaks","7","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1330","0308767","Active",,,"Laureate","488 PRESIDIO AVE","San Francisco","CA","POINT (-122.446803675 37.787434493)","Presidio Heights","2","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1331","0326798","Active",,,"Bird & Beckett Books and Records","653 CHENERY ST","San Francisco","CA","POINT (-122.43295279 37.734504172)","Glen Park","8","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1333","0352860","Active",,,"Zingari Ristorante","501 POST ST","San Francisco","CA","POINT (-122.410395 37.787913)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1334","0484945","Active",,,"The Willows","1582 FOLSOM ST","San Francisco","CA","POINT (-122.414859343 37.771111148)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1336","1017514","Active",,,"Grubstake Diner","1525 PINE ST","San Francisco","CA","POINT (-122.4208395 37.789326)","Nob Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1337","0427023","Active","P23","Place of Entertainment","Press Club","20 YERBA BUENA LN","San Francisco","CA","POINT (-122.4043695 37.785924)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1339","0463517","Active",,,"Azucar Lounge","299 9TH ST","San Francisco","CA","POINT (-122.411682 37.774062)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1340",,"Active",,,"The Dubliner","3838 24TH ST","San Francisco","CA","POINT (-122.428341 37.751841)","Noe Valley","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1342","0458413","Active",,,"Tenderloin Museum","398 EDDY ST","San Francisco","CA","POINT (-122.4139545 37.784061)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1343","1004666","Active","P23","Place of Entertainment","The Pearl","601 19TH ST","San Francisco","CA","POINT (-122.3889795 37.761525)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1344","1026767","Active","P23","Place of Entertainment","The Midway","900 MARIN ST","San Francisco","CA","POINT (-122.385681 37.749285)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1345","1068438","Active",,,"Sam Wo Restaurant & Bakery","713 CLAY ST","San Francisco","CA","POINT (-122.4051255 37.794258)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1346","0446965","Active",,,"Old Skool Café","1429 MENDELL ST","San Francisco","CA","POINT (-122.390415 37.73421)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1347","1016804","Active",,,"Pa'ina Restaurant and Lounge","1865 POST ST","San Francisco","CA","POINT (-122.4323055 37.784925)","Japantown","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1352","481151","Active","P23","Place of Entertainment","Chase Center","1 WARRIORS WAY","San Francisco","CA","POINT (-122.3875755 37.768005)","Mission Bay","6","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1353","1018226","Active","P23","Place of Entertainment","Tunnel Top Bar","601 BUSH ST","San Francisco","CA","POINT (-122.4073125 37.790235)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1355","0396689","Active",,,"Roccapulco","3140 MISSION ST","San Francisco","CA","POINT (-122.419296 37.747242)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1358","1023620","Active","P23","Place of Entertainment","Connecticut Yankee","100 CONNECTICUT ST","San Francisco","CA","POINT (-122.3978715 37.764873)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1362","1023445","Active",,,"Atwater Tavern","295 TERRY A FRANCOIS BLVD","San Francisco","CA","POINT (-122.387247 37.774341)","Mission Bay","6","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD, BP","1366","1028670","Active",,,"Evil Eye","2937 MISSION ST","San Francisco","CA","POINT (-122.417901 37.750041)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1369","0423020","Active","P23","Place of Entertainment","Boxcar Theatre","644 BROADWAY","San Francisco","CA","POINT (-122.407765016 37.797767339)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","137","0358996","Active","P23","Place of Entertainment","SF LSBN GAY BSXL TRNGDR COM CT","1800 MARKET ST","San Francisco","CA","POINT (-122.423922 37.771749)","Hayes Valley","8","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1371","1031804","Active","P23","Place of Entertainment","The Great Northern","119 UTAH ST","San Francisco","CA","POINT (-122.406751219 37.768131221)","Mission","6","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD, BP","1372","1070390","Active","P23","Place of Entertainment","Emporium SF","616 DIVISADERO ST","San Francisco","CA","POINT (-122.437458 37.775331)","Hayes Valley","5","PARK","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1373","0469687","Active","P23","Place of Entertainment","The Riptide","3639 TARAVAL ST","San Francisco","CA","POINT (-122.5053405 37.741581)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1374","1021100","Active",,,"Scopo Divino","2800 CALIFORNIA ST","San Francisco","CA","POINT (-122.4408015 37.7883)","Pacific Heights","2","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1377","1042405","Active","P23","Place of Entertainment","Halcyon","314 11TH ST","San Francisco","CA","POINT (-122.4139185 37.771452)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1378","1029468","Active","P23","Place of Entertainment","Spin San Francisco","690 FOLSOM ST","San Francisco","CA","POINT (-122.3989785 37.784187)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","138","0947644","Active",,,"Chelsea Place","641 BUSH ST","San Francisco","CA","POINT (-122.407677 37.790199)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1380","0482536","Active",,,"Richmond Republic","642 CLEMENT ST","San Francisco","CA","POINT (-122.46624 37.783134)","Inner Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1381","1022008","Active",,,"Ocean Ale House","1314 OCEAN AVE","San Francisco","CA","POINT (-122.456736 37.724265)","West of Twin Peaks","7","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1385","1032245","Active","P23","Place of Entertainment","Black Cat","400 EDDY ST","San Francisco","CA","POINT (-122.4144045 37.783827)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1387","1009067","Active",,,"Harmonic Brewing","1050 26TH ST","San Francisco","CA","POINT (-122.390082 37.751625)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1388","1007479","Active",,,"Belle Cora","565 GREEN ST","San Francisco","CA","POINT (-122.408397 37.79946)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1389","1016340","Active",,,"The Sea Star","2289 3RD ST","San Francisco","CA","POINT (-122.3882415 37.760688)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","139","0336810","Active","P23","Place of Entertainment","The Pig and the Whistle","2801 GEARY BLVD","San Francisco","CA","POINT (-122.449166096 37.782139365)","Lone Mountain/USF","2","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","1393","1063156","Active","P23","Place of Entertainment","Lone Star Saloon","1354 HARRISON ST","San Francisco","CA","POINT (-122.4109395 37.772208)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1396","1104709","Active",,,"Audio/Bergerac","316 11TH ST","San Francisco","CA","POINT (-122.413806 37.771371)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1397","0385922","Active",,,"AT&T 1 Powell","1 POWELL ST","San Francisco","CA","POINT (-122.407763741 37.784784897)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1398","1012548","Active",,,"FINNEGAN'S WAKE","937 COLE ST","San Francisco","CA","POINT (-122.450166 37.765305)","Haight Ashbury","8","PARK","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1399","1046054","Active",,,"Cha Cha Cha on Mission","2327 MISSION ST","San Francisco","CA","POINT (-122.418819 37.759788)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","140","0305542","Active","P23","Place of Entertainment","Boom Boom Room","1601 FILLMORE ST","San Francisco","CA","POINT (-122.4334305 37.784565)","Japantown","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1401","0454765","Active",,,"Rinconcito Nicaraguense","2943 MISSION ST","San Francisco","CA","POINT (-122.417892 37.749969)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1402","1067294","Active","P23","Place of Entertainment","Toy Soldier","52 BELDEN PL","San Francisco","CA","POINT (-122.403673037 37.791420001)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1404","0348637","Active","P23","Place of Entertainment","HARRY'S BAR","2020 FILLMORE ST","San Francisco","CA","POINT (-122.433444 37.788354)","Pacific Heights","2","NORTHERN","2025/08/08 09:39:36 AM","2025/10/10 08:05:31 AM"
"EHP","1405","1029744","Active",,,"The Halal Guys","340 OFARRELL ST","San Francisco","CA","POINT (-122.410341 37.786428)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1407","0111067","Active",,,"Bosco","888 BRANNAN ST","San Francisco","CA","POINT (-122.4052065 37.772019)","South of Market","6","SOUTHERN","2025/01/07 09:47:47 AM","2025/10/10 08:05:31 AM"
"LLP","1410","0426415","Active",,,"Google Inc.","188 THE EMBARCADERO","San Francisco","CA","POINT (-122.391693 37.792584)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1411","1021340","Active","P23","Place of Entertainment","Hermitage Banquet Hall","5641 GEARY BLVD","San Francisco","CA","POINT (-122.479988002 37.780026019)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1412","0190628","Active","P23","Place of Entertainment","Hamburger Mary's Patio Café","531 CASTRO ST","San Francisco","CA","POINT (-122.4348165 37.760364)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1414","1009079","Active",,,"Noise","3427 BALBOA ST","San Francisco","CA","POINT (-122.49558 37.775691)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1417","1071425","Active","P23","Place of Entertainment","The Rumpus Room","10 6TH ST","San Francisco","CA","POINT (-122.4101925 37.781874)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1419","1039310","Active",,,"Limoncello (previously Zita)","2862 24TH ST","San Francisco","CA","POINT (-122.409612 37.753002)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1421","1060205","Active",,,"Endgames Improv","2989 MISSION ST","San Francisco","CA","POINT (-122.4178425 37.74942)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1422","1015269","Active",,,"District Six","428 11TH ST","San Francisco","CA","POINT (-122.4119115 37.769778)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1423","1026416","Active",,,"Spark Social SF","601 MISSION BAY BLVD NORTH","San Francisco","CA","POINT (-122.391405 37.770984)","Mission Bay","6","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD, EHP","1424","1076994","Active","P23","Place of Entertainment","August Hall & Fifth Arrow","430 MASON ST","San Francisco","CA","POINT (-122.409593008 37.787564997)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1427","0381606","Active",,,"Venice Pizza and Restaurant","5228 MISSION ST","San Francisco","CA","POINT (-122.4421335 37.715265)","Outer Mission","11","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1428","1006275","Active","P23","Place of Entertainment","Pandora Karaoke","50 MASON ST","San Francisco","CA","POINT (-122.4090315 37.784169)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1429","1080766","Active",,,"Hockey Haven","3625 BALBOA ST","San Francisco","CA","POINT (-122.4978165 37.775448)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1430","1070007","Active",,,"San Francisco Brewing Co.","3150 POLK ST","San Francisco","CA","POINT (-122.423643 37.806021)","Russian Hill","2","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1431","1023317","Active",,,"Barebottle Brewing Co.","1525 CORTLAND AVE","San Francisco","CA","POINT (-122.409018 37.740087)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1432","1081475","Active",,,"Magic Patio","3264 MISSION ST","San Francisco","CA","POINT (-122.4208665 37.744641)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1434","0441551","Active",,,"Venga Empanadas","443 VALENCIA ST","San Francisco","CA","POINT (-122.421672 37.765854)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1435","1083821","Active",,,"SF Hole in the Wall Pizza","1827 IRVING ST","San Francisco","CA","POINT (-122.477649032 37.763337986)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1436","1000819","Active",,,"Laughing Monk Brewing","1439 EGBERT AVE","San Francisco","CA","POINT (-122.393145208 37.722925593)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1438","0399804","Active",,,"District","216 TOWNSEND ST","San Francisco","CA","POINT (-122.393358 37.778697)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1439","1080536","Active","P23","Place of Entertainment","El Valenciano","1153 VALENCIA ST","San Francisco","CA","POINT (-122.4205425 37.754523)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","144","0324828","Active","P23","Place of Entertainment","W Hotel - XYZ RESTAURANT & WINE BAR","181 3RD ST","San Francisco","CA","POINT (-122.400468 37.785474)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1440","0450358","Active","P23","Place of Entertainment","Zombie Village","441 JONES ST","San Francisco","CA","POINT (-122.4131535 37.785555)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1442","1077519","Active","P23","Place of Entertainment","The Mint","1942 MARKET ST","San Francisco","CA","POINT (-122.4258525 37.770345)","Hayes Valley","8","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1444","0486563","Active",,,"Jamestown Premier GHRSQ, L.P. ( Ghiradelli Square )","900 NORTH POINT ST","San Francisco","CA","POINT (-122.4231975 37.805535)","Russian Hill","2","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1446","1003213","Active",,,"Stookey's Club Moderne","895 BUSH ST","San Francisco","CA","POINT (-122.411763 37.789551)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1449","0029736","Active",,,"Vesuvio","255 COLUMBUS AVE","San Francisco","CA","POINT (-122.4061245 37.797336)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1450","0485515","Active",,,"Victory Hall & Parlor","360 RITCH ST","San Francisco","CA","POINT (-122.394078 37.778832)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1451",,"Active","P23","Place of Entertainment","BEI San Francisco","50 8TH ST","San Francisco","CA","POINT (-122.4142875 37.777572)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1453","0304368","Active","P23","Place of Entertainment","SF Giants/Oracle Park",,"San Francisco","CA",,,,,"2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1455","1082308","Active",,,"Palihotel San Francisco","417 STOCKTON ST","San Francisco","CA","POINT (-122.4074025 37.789803)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1457","0459707","Active",,,"Rock Bar","80 29TH ST","San Francisco","CA","POINT (-122.422338 37.744074)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1460","1088093","Active","P23","Place of Entertainment","Jolene's","2700 16TH ST","San Francisco","CA","POINT (-122.413536 37.765701)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1461","1070435","Active","P23","Place of Entertainment","San Francisco Proper Hotel","1100 MARKET ST","San Francisco","CA","POINT (-122.412483 37.780902)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1463","1073452","Active",,,"Manny's","3092 16TH ST","San Francisco","CA","POINT (-122.421609 37.765179)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1465","0463182","Active",,,"Woods Polk Station","2255 POLK ST","San Francisco","CA","POINT (-122.4223965 37.797678)","Russian Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1466","0382512","Active","P23","Place of Entertainment","Executive Order Bar & Lounge","868 MISSION ST","San Francisco","CA","POINT (-122.4057735 37.783458)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1469","0111067","Active",,,"Comstock Saloon","155 COLUMBUS AVE","San Francisco","CA","POINT (-122.405607 37.796787)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1471","0368286","Active",,,"Vanity Nightclub","412 BROADWAY","San Francisco","CA","POINT (-122.404281982 37.798455981)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1473","1092708","Active",,,"El Lopo / The Pour House","1327 POLK ST","San Francisco","CA","POINT (-122.420637 37.78893)","Nob Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD","1474","1095941","Active","P23","Place of Entertainment","3910 Lounge","3910 GEARY BLVD","San Francisco","CA","POINT (-122.461434 37.78146)","Inner Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1477","1097099","Active",,,"Peacekeeper","925 BUSH ST","San Francisco","CA","POINT (-122.4125235 37.789497)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1479","1010389","Active",,,"Minnesota Street Project","1275 MINNESOTA ST","San Francisco","CA","POINT (-122.3893935 37.754253)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1480","0397690","Active",,,"Cova Hotel","655 ELLIS ST","San Francisco","CA","POINT (-122.4170145 37.784016)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1481","450957","Active","P23","Place of Entertainment","House of Thai","901 LARKIN ST","San Francisco","CA","POINT (-122.4182745 37.786275)","Tenderloin","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1482","1017781","Active",,,"Hotel Via","138 KING ST","San Francisco","CA","POINT (-122.3908695 37.779147)","Mission Bay","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD","1485","1096001","Active","P23","Place of Entertainment","The Valencia Room","647 VALENCIA ST","San Francisco","CA","POINT (-122.421393 37.762506)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1487","1091951","Active",,,"Bazaar Café","5927 CALIFORNIA ST","San Francisco","CA","POINT (-122.481207 37.783827)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1490","0484699","Active","P23","Place of Entertainment","Monte Cristo Club","136 MISSOURI ST","San Francisco","CA","POINT (-122.3970435 37.764621)","Potrero Hill","10","BAYVIEW","2025/09/26 01:53:04 PM","2025/10/10 08:05:31 AM"
"LLP","1491","1092524","Active",,,"Harborview Restaurant & Bar","4 EMBARCADERO CTR","San Francisco","CA","POINT (-122.396236026 37.795534007)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1493","1071108","Active",,,"Standard Deviant Brewing","280 14TH ST","San Francisco","CA","POINT (-122.4194805 37.768446)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1494","0370349","Active","P23","Place of Entertainment","Bernal Heights Neighborhood Center","515 CORTLAND AVE","San Francisco","CA","POINT (-122.416146 37.739232)","Bernal Heights","9","INGLESIDE","2025/09/26 01:46:44 PM","2025/10/10 08:05:31 AM"
"POE","1495","0939962","Active","P23","Place of Entertainment","Biscuits and Blues","401 MASON ST","San Francisco","CA","POINT (-122.410152 37.787301)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1497","0401848","Active","P23","Place of Entertainment","Croatian Cultural Center of SF","60 ONONDAGA AVE","San Francisco","CA","POINT (-122.4388485 37.722015)","Outer Mission","11","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1498","0369914","Active","P23","Place of Entertainment","Hyatt Regency - San Francisco","5 EMBARCADERO CTR","San Francisco","CA","POINT (-122.39581802 37.794342981)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1499","0422654","Active","P23","Place of Entertainment","Ireland's 32","3920 GEARY BLVD","San Francisco","CA","POINT (-122.461434 37.781325)","Inner Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","150","0948065","Active","P23","Place of Entertainment","MUCKY DUCK","1315 9TH AVE","San Francisco","CA","POINT (-122.46669 37.763775)","Inner Sunset","7","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD, BP","1501","1100047","Active",,,"Wild Side West","424 CORTLAND AVE","San Francisco","CA","POINT (-122.4171855 37.73889)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1502","0357470","Active","P23","Place of Entertainment","S F ITALIAN ATHLETIC CLUB","1630 STOCKTON ST","San Francisco","CA","POINT (-122.409135 37.800882)","North Beach","3","CENTRAL","2025/09/26 01:54:42 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1503","0385740","Active","P23","Place of Entertainment","CITY NIGHTS","715 HARRISON ST","San Francisco","CA","POINT (-122.397822 37.782063)","South of Market","6","SOUTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"MAD, BP","1506","0324889","Active",,,"Zeitgeist","199 VALENCIA ST","San Francisco","CA","POINT (-122.422113 37.77003)","Mission","9","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1510","0488301","Active","P23","Place of Entertainment","Bay Area Longshoremen's Hall","400 NORTH POINT ST","San Francisco","CA","POINT (-122.414715 37.806921)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1511","0325414","Active",,,"CLUB KRISTI","782 OFARRELL ST","San Francisco","CA","POINT (-122.4175095 37.785339)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1513","0324628","Active","P23","Place of Entertainment","HARD ROCK CAFE","39 PIER","San Francisco","CA","POINT (-122.396222304 37.795040654)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1514","0134493","Active",,,"PIER 39",,"San Francisco","CA",,,,,"2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1515","0486963","Active",,,"PORT OF SAN FRANCISCO","1 PIER","San Francisco","CA","POINT (-122.399660033 37.794666983)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1516","0486963","Active","P23","Place of Entertainment","PORT OF SAN FRANCISCO","1 PIER","San Francisco","CA","POINT (-122.399660033 37.794666983)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1517","0307402","Active","P23","Place of Entertainment","UNITY MUTUAL BENEFIT ASSOC.  / Peacock Lounge","548 HAIGHT ST","San Francisco","CA","POINT (-122.431383 37.772217)","Hayes Valley","5","NORTHERN","2025/04/14 01:10:20 PM","2025/10/10 08:05:31 AM"
"LLP","1518","451897","Active",,,"Anchor Brewing Company","1705 MARIPOSA ST","San Francisco","CA","POINT (-122.400963 37.763127)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1519","472585","Active",,,"Alchemist and Woodbury","685 3RD ST","San Francisco","CA","POINT (-122.392908 37.779291)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
