"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"BP","1114","0373908","Active",,,"Fillmore Billiard","1526 FILLMORE ST","San Francisco","CA","POINT (-122.432748811 37.783623584)","Western Addition","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1118","374810","Active",,,"King of Thai","184 OFARRELL ST","San Francisco","CA","POINT (-122.407741314 37.786483667)","Financial District/South Beach","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1122","0457826","Active","P23","Place of Entertainment","The Edge","4149 18TH ST","San Francisco","CA","POINT (-122.435919 37.760643)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1129","0457525","Active","P23","Place of Entertainment","The Chapel","777 VALENCIA ST","San Francisco","CA","POINT (-122.421443036 37.760514078)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1130","0397919","Active","P23","Place of Entertainment","Sam's Cable Car Lounge","222 POWELL ST","San Francisco","CA","POINT (-122.408068998 37.786684302)","Financial District/South Beach","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1133","0473327","Active","P23","Place of Entertainment","FAME Venue","443 BROADWAY","San Francisco","CA","POINT (-122.4045135 37.797894)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1138","0477643","Active",,,"Kendra Alexander Foundation","518 VALENCIA ST","San Francisco","CA","POINT (-122.421901053 37.764563296)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1139","0314624","Active",,,"El Farolito","4817 MISSION ST","San Francisco","CA","POINT (-122.437294884 37.721303609)","Excelsior","11","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP, MAD","1140","0945623","Active",,,"Golden Gate Grill","449 POWELL ST","San Francisco","CA","POINT (-122.408543838 37.78875146)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1142","0448813","Active",,,"The Sycamore","2140 MISSION ST","San Francisco","CA","POINT (-122.419502938 37.762835276)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1147","0489842","Active","P23","Place of Entertainment","Hawthorn","46 GEARY ST","San Francisco","CA","POINT (-122.404311 37.788129)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1150","0404254","Active","P23","Place of Entertainment","Festa","1581 WEBSTER ST","San Francisco","CA","POINT (-122.431462289 37.7851749)","Japantown","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
